Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date,Station Type,Sensor Type
HZ,MBB02,-102.027308,31.933312,,,,,-0.471,2019-05-24,,Non-TexNet,Short period
HZ,MBB03,-101.968045,31.857881,,,,,-0.446,2019-05-24,,Non-TexNet,Short period
HZ,MBB06,-102.114066,32.250872,,,,,-0.463,2019-05-24,,Non-TexNet,Short period
HZ,MBB07,-101.73708,31.379127,,,,,-0.319,2019-05-24,,Non-TexNet,Short period
HZ,MBB08,-101.73487,32.285863,,,,,-204,2019-05-24,,Non-TexNet,Short period
HZ,MBB23,-101.745481,31.674805,,,,,-269,2019-05-24,,Non-TexNet,Short period
HZ,MBB25,-101.866515,31.805789,,,,,-400,2019-05-24,,Non-TexNet,Short period
HZ,MBB26,-102.002015,32.26907,,,,,-281,2019-05-24,,Non-TexNet,Short period
HZ,MBNS1,-102.114128,32.25056,,,,,786,2019-05-24,,Non-TexNet,Short period
HZ,MBNS2,-102.07683,32.295636,,,,,777,2019-05-24,,Non-TexNet,Short period
HZ,MBNS3,-101.709457,31.843938,,,,,727,2019-05-24,,Non-TexNet,Short period
HZ,MBS01,-102.114038,32.250887,,,,,864,2019-05-24,,Non-TexNet,Short period
HZ,MBB04,-102.021829,31.486064,,,,,-454,2019-05-24,,Non-TexNet,Short period
4O,OEP01,-101.9361,32.328,Overflow Energy Permian LLC,,,,863,2025-09-15,,Non-TexNet,Broadband
TX,ET05,-93.84327,31.34264,,,,,99,2026-01-07,,TexNet Portable,
AG,SHV1,-93.7748,32.7319,,,,Louisiana / Bossier Parish / Benton,68,2025-01-25,,Non-TexNet,Broadband
OK,LEXS,-101.47511,36.73363,,,,,930,2025-09-18,,Non-TexNet,Broadband
4O,DRO01,-102.0208,32.0219,Deep Rock Oil,,,,843,1980-01-01,,Non-TexNet,Broadband
4O,VEM01,-94.0279,31.6953,Ventana Midstream,,,,115,1980-01-01,,Non-TexNet,Broadband
TX,PP22,-103.076294,31.211658,,,,Coyanosa,808,2026-02-18,,TexNet Portable,
TX,DALS,-96.784125,32.845893,,,,,187,2026-02-28,,TexNet Permanent,Broadband
4O,WB10copy,-103.7218932,31.93042,Waterbridge,,,"Loving Co., TX",910.9,2022-08-26,2022-08-26,Non-TexNet,Broadband
2T,E79AR,-98.5130556,28.386944,University of Texas,TXHUB,,McMullen County,85,2026-04-16,,TexNet Portable,
2T,E52AR,-98.20175,28.84362,University of Texas,TXHUB,,"Campbellton, TX",115,2026-04-16,,TexNet Portable,
2T,E76AR,-98.1947,28.5203,University of Texas,TXHUB,,"Three Rivers, TX",48,2026-04-16,,TexNet Portable,
2T,E59AR,-98.4191,28.9501,University of Texas,TXHUB,,"Coughran, TX",98.1,2026-04-17,,TexNet Portable,
2T,E74AR,-98.4242,28.4376,University of Texas,TXHUB,,"Calliham, TX",95.2,2026-04-23,,TexNet Portable,
2T,E58AR,-98.723,28.8365,University of Texas,TXHUB,,"Charlotte, TX",137,2026-04-23,,TexNet Portable,
IM,TX12,-103.696419,29.325899,,,,,1028,2025-09-22,,Non-TexNet,Raspberry Shake
2T,EF81,-99.171106,28.656171,University of Texas,TXHUB,,Frio County,134,2026-05-27,,TexNet Portable,Broadband
OK,SAYRE,-99.705453,35.411686,,,,,647,2026-05-13,,Non-TexNet,Broadband
OK,ELI2,-99.43687,36.048211,,,,,642,2025-05-14,,Non-TexNet,Broadband
OK,ELKC,-99.415203,35.382023,,,,,598,2026-05-13,,Non-TexNet,Broadband
SC,RH1,-103.518215,32.214585,,,,,1093.9,2022-05-05,,Non-TexNet,Broadband
SC,QHY,-104.361485,32.374036,,,,,1049,2026-04-22,,Non-TexNet,Broadband
SC,NWP,-103.893003,32.796965,,,,,1135,2026-04-24,,Non-TexNet,Broadband
SC,MON,-103.360803,32.676816,,,,,1166,2026-04-25,,Non-TexNet,Broadband
SC,HOP,-104.951943,32.868961,,,,,1450,2026-04-23,,Non-TexNet,Broadband
SC,HBL,-104.099851,32.601281,,,,,1000,2026-04-22,,Non-TexNet,Broadband
SC,EUN,-103.134871,32.503365,,,,,1073,2026-04-26,,Non-TexNet,Broadband
TX,PH07,-100.931617,35.540628,,,,Gary County,978,2026-07-08,,TexNet Portable,
4O,WB15,-103.04432678,32.331569672,,,,,1014,2026-07-13,,Non-TexNet,Broadband
4O,WB17,-103.04138947,32.284599304,,,,,979.7,2026-07-13,,Non-TexNet,Broadband
4O,WB18,-102.99897965,32.35319909,,,,,998.2,2026-07-13,,Non-TexNet,Broadband
4O,WB19,-102.99902344,32.262950897,,,,,977,2026-07-13,,Non-TexNet,Broadband
4O,WB20,-102.99910736,32.305160522,,,,,991.9,2026-07-13,,Non-TexNet,Broadband
4O,VEM02,-94.1397,31.4792,,,,,83,2027-07-12,,Non-TexNet,Broadband
